model,run,seed,clustering,transitivity,triangles,edges,max_degree,components,edges_lost,hub_degree
swapped,69,754714710,0.1587121767716456,0.11910596026490067,1199,1421,106,1,0,106
swapped,70,714713951,0.1487537047238214,0.11543046357615894,1162,1421,106,2,0,106
swapped,71,3690268962,0.1462923299472755,0.11831125827814569,1191,1421,106,1,0,106
swapped,72,940866137,0.15158236770721395,0.11413907284768211,1149,1421,106,1,0,106
swapped,73,2200839731,0.13733178762677484,0.11264900662251656,1134,1421,106,1,0,106
swapped,74,3158369471,0.16107664488674986,0.11572847682119206,1165,1421,106,1,0,106
swapped,75,1410287507,0.1552901057974779,0.11850993377483443,1193,1421,106,1,0,106
swapped,76,270687650,0.14126821211596446,0.11682119205298014,1176,1421,106,1,0,106
swapped,77,2729631414,0.1565003805204696,0.12119205298013246,1220,1421,106,1,0,106
swapped,78,3361780383,0.15787627789582664,0.11930463576158941,1201,1421,106,1,0,106
swapped,79,3992858673,0.1492667456760678,0.11970198675496689,1205,1421,106,2,0,106
swapped,80,4020998281,0.16517963667659497,0.11185430463576158,1126,1421,106,1,0,106
swapped,81,3136110023,0.16035149748919292,0.12327814569536424,1241,1421,106,1,0,106
swapped,82,4027269143,0.16625776429903388,0.11771523178807947,1185,1421,106,1,0,106
swapped,83,3440617422,0.1596827168016483,0.11453642384105961,1153,1421,106,1,0,106
swapped,84,549817202,0.15918293901240288,0.11463576158940397,1154,1421,106,2,0,106
swapped,85,4220571486,0.15128010609177775,0.11811258278145695,1189,1421,106,2,0,106
swapped,86,3891767368,0.16262314377035467,0.1169205298013245,1177,1421,106,1,0,106
swapped,87,19089950,0.15710196035263108,0.10519867549668874,1059,1421,106,1,0,106
swapped,88,2860430307,0.16025183417365452,0.11950331125827815,1203,1421,106,1,0,106
swapped,89,1399676852,0.1685560355859091,0.12725165562913907,1281,1421,106,1,0,106
swapped,90,3856426113,0.16492540869544015,0.11394039735099337,1147,1421,106,1,0,106
swapped,91,3841459584,0.16285275492632215,0.12536423841059602,1262,1421,106,2,0,106
swapped,92,1213258399,0.16514668861632445,0.11701986754966888,1178,1421,106,1,0,106
swapped,93,1156650481,0.17342761515700814,0.11731788079470198,1181,1421,106,1,0,106
swapped,94,3555827970,0.1549570491191168,0.10947019867549669,1102,1421,106,1,0,106
swapped,95,4114777363,0.1691438980203986,0.1230794701986755,1239,1421,106,1,0,106
swapped,96,4903585,0.17347839608446472,0.11582781456953642,1166,1421,106,1,0,106
swapped,97,3234617964,0.14128672820046959,0.11960264900662251,1204,1421,106,1,0,106
swapped,98,1099798112,0.14103464159290768,0.11920529801324503,1200,1421,106,1,0,106
swapped,99,3132507227,0.16454871988879008,0.11910596026490067,1199,1421,106,1,0,106
swapped,100,3338253165,0.15764778924903788,0.11473509933774835,1155,1421,106,1,0,106
swapped,101,363492240,0.14849083125351867,0.1206953642384106,1215,1421,106,1,0,106
swapped,102,3663439102,0.15351124731755555,0.11980132450331125,1206,1421,106,1,0,106
swapped,103,438112517,0.1547604390606949,0.12437086092715231,1252,1421,106,1,0,106
swapped,104,1926350488,0.14061960620035693,0.11721854304635762,1180,1421,106,1,0,106
swapped,105,2768227867,0.16845845328551876,0.11711920529801324,1179,1421,106,1,0,106
swapped,106,694320545,0.13746780572558295,0.12059602649006622,1214,1421,106,1,0,106
swapped,107,51900878,0.15293068577314703,0.11960264900662251,1204,1421,106,1,0,106
swapped,108,2761573020,0.15203757460401054,0.11602649006622516,1168,1421,106,1,0,106
swapped,109,164997933,0.15384106970075465,0.11990066225165563,1207,1421,106,1,0,106
swapped,110,3935447946,0.15559134847671788,0.1213907284768212,1222,1421,106,1,0,106
swapped,111,987319900,0.1694739613310084,0.12099337748344371,1218,1421,106,1,0,106
swapped,112,1806324784,0.14551256900154316,0.11493377483443709,1157,1421,106,1,0,106
swapped,113,1301538981,0.157246818728545,0.11473509933774835,1155,1421,106,1,0,106
swapped,114,2266381739,0.14188697774843764,0.11950331125827815,1203,1421,106,1,0,106
swapped,115,3463799146,0.1572852878730095,0.12208609271523178,1229,1421,106,1,0,106
swapped,116,2711457807,0.15447498178009494,0.11781456953642384,1186,1421,106,1,0,106
swapped,117,3003980783,0.14996997012197216,0.12089403973509934,1217,1421,106,1,0,106
swapped,118,530017273,0.14478540922831493,0.12496688741721854,1258,1421,106,1,0,106
