node,character,degree,betweenness_real,betweenness_null_mean,betweenness_null_sd,betweenness_z,harmonic_real,harmonic_null_mean,harmonic_null_sd,harmonic_z,betweenness_surprise_rank
224,Spider-Man,106,0.2349468109924437,0.2325463588817825,0.00954061118276202,0.25160359904387863,188.00000000000003,188.57950000000002,0.5616357371857579,-1.0318075607221011,71
33,Bucky_(Marvel_Comics),12,0.004704911391915597,0.004218389899696955,0.0023442838557646644,0.2075352312913263,108.09999999999978,123.73758333333315,4.182641736628319,-3.7386858158066927,72
195,Rocket_Raccoon,16,0.008134042801912685,0.007563074246508279,0.0028834762301546252,0.1980139629497787,129.6666666666665,128.7046666666665,3.604833500632333,0.2668639202979117,73
9,Ares_(Marvel_Comics),9,0.0029673695157766467,0.0026283145686993525,0.0022282289569652484,0.15216342378885178,109.58333333333309,118.55991666666645,4.978713790089712,-1.802992441783165,74
268,Whizzer_(Robert_Frank),8,0.0024740020154788087,0.002169151689083414,0.0020270695617004226,0.15038967194577615,110.11666666666646,116.50383333333312,5.166333190189091,-1.2363056023556398,75
56,Delroy_Garrett,7,0.001967414011376531,0.0016995757880082696,0.0018028754338918207,0.14856169113696668,103.39999999999979,114.16274999999978,5.5322865797417835,-1.945443325262866,76
21,Black_Rider_(character),4,0.0006009171862949991,0.000468810426908282,0.0009304424500525991,0.14198273023683408,102.44999999999978,106.19133333333312,6.551759721165455,-0.571042512631678,77
45,Cloak_and_Dagger_(characters),28,0.0213922247645382,0.020700568316085268,0.005060704613984087,0.13667196590405628,140.99999999999994,141.03858333333326,2.0354648584825434,-0.01895553891413541,78
233,Star-Lord,17,0.00828251891492216,0.007894406113176284,0.003044592689040066,0.12747609988784556,131.99999999999983,130.20141666666652,3.300004981765397,0.5450244297422628,79
157,Mockingbird_(Marvel_Comics),21,0.012248869888957764,0.011750642283545606,0.00391825190323943,0.12715558308036468,133.16666666666652,134.3508333333332,2.8641879695185883,-0.4134388801534323,80
193,Rikki_Barnes,6,0.001411726600379519,0.0012166982295568935,0.0015559928584111566,0.1253401452123446,98.26666666666651,112.74033333333311,5.800363722976042,-2.495303287504956,81
247,Thor_Girl,4,0.000671023014561754,0.0005366048660444232,0.0012216660287629364,0.1100285555565813,103.5333333333331,106.60308333333312,6.923913093210649,-0.44335478488459146,82
199,Ronin_(Marvel_Comics),7,0.0017374296061941745,0.0015877456823334703,0.001383583111782802,0.1081857118563918,117.33333333333314,114.76708333333312,5.451142939360335,0.47077283214686017,83
44,Citizen_V,3,0.0005066107949604889,0.000398669470950414,0.0010980100804230681,0.0983063142448425,94.89999999999988,101.34866666666647,7.033546751070697,-0.9168442174191754,84
143,Leech_(character),6,0.0011829931941604286,0.0010809514952948539,0.0012012702559181432,0.08494483099274214,100.88333333333316,111.96133333333312,6.1446968778635895,-1.8028554085244965,85
231,Spitfire_(character),6,0.0013183216673845852,0.0011973463432837527,0.0015249806513081138,0.07932908787863047,100.06666666666642,112.0917976190474,5.895924417987324,-2.0395666734964633,86
121,Iron_Man_(Ultimate_Marvel_character),5,0.0008076961121711706,0.0007513050852436889,0.0010049826918245082,0.05611144090960002,119.49999999999983,109.65488095238074,6.097623949546259,1.6145828488409317,87
8,Arabian_Knight_(character),10,0.0030469047334393687,0.0029478745417496756,0.0018668329813868898,0.053047162053095176,116.61666666666646,120.09774999999979,4.9295210488239825,-0.7061707007344659,88
154,Marvel_Boy_(Robert_Grayson),3,0.00041504774416309067,0.0003606533821367863,0.0011449093977706113,0.047509752415537926,92.11666666666656,101.67633333333313,6.685800715816567,-1.4298461879145328,89
145,Living_Lightning,6,0.0012620821356461819,0.0012121888808649972,0.0015662412645377005,0.03185540817423902,111.83333333333306,111.72058333333311,5.482336485251622,0.02056604885585999,90
171,Outlaw_(Marvel_Comics),9,0.0026056385771970865,0.0025566863419962875,0.002197006745772949,0.022281331313608106,110.48333333333314,118.68241666666646,4.902792990819845,-1.6723290884778452,91
85,Frog-Man,6,0.0012520732704196338,0.0012330591390580055,0.0015600292765990521,0.012188317005870648,114.91666666666646,112.86816666666645,6.228342305805014,0.3288997135065516,92
115,Hybrid_(Scott_Washington),5,0.0008245746767959797,0.0008113013695663377,0.0010969658178322833,0.012100018992270409,114.41666666666647,109.46241666666644,6.40738925517101,0.7732088379056664,93
253,Two-Gun_Kid,6,0.0015135949884659138,0.0014945006104377344,0.0018805015504118352,0.010153875185052449,101.8999999999998,111.6157976190474,5.881736005066426,-1.6518588407705772,94
17,Black_Jack_Tarr,1,0.0,0.0,0.0,0.0,88.24999999999991,87.84563095238086,11.63346630641444,0.0347591196783796,95
28,Blue_Eagle_(character),1,0.0,0.0,0.0,0.0,90.68333333333322,88.22463095238086,9.488924535524905,0.25911286065637895,96
39,Captain_Ultra,1,0.0,0.0,0.0,0.0,98.78333333333312,87.5634642857142,10.961922206165838,1.0235311687678268,97
57,Detroit_Steel,1,0.0,0.0,0.0,0.0,81.95000000000002,88.33833333333325,10.084277057599419,-0.6334944286877805,98
60,Digitek_(character),1,0.0,0.0,0.0,0.0,87.54999999999993,87.84927976190468,10.104335750401638,-0.02961894470825164,99
65,Dogpool,1,0.0,0.0,0.0,0.0,95.46666666666653,86.62358333333326,10.8820228198561,0.8126323092428698,100
74,Enigma_(Marvel_Comics),1,0.0,0.0,0.0,0.0,108.66666666666647,88.10329761904754,9.880958163384,2.081110830306001,101
75,Ethan_Edwards,1,0.0,0.0,0.0,0.0,108.66666666666647,87.19171428571421,10.884350562016612,1.9730118263457934,102
82,Force_(comics),1,0.0,0.0,0.0,0.0,77.90000000000005,87.32734523809515,14.025915297133764,-0.6721376137229066,103
103,Helix_(Marvel_Comics),1,0.0,0.0,0.0,0.0,108.66666666666647,86.4579642857142,12.317261745477847,1.803055162735822,104
149,Mahr_Vehl,1,0.0,0.0,0.0,0.0,74.33333333333339,87.67651190476182,11.611829736275899,-1.1491021548261016,105
153,Mark_Hazzard:_Merc,1,0.0,0.0,0.0,0.0,69.80000000000007,86.45846428571421,12.439492672337485,-1.339159459674643,106
160,Moonglow_(comics),1,0.0,0.0,0.0,0.0,98.78333333333312,88.41613095238087,9.256290551841298,1.1200169574290173,107
164,NFL_SuperPro,1,0.0,0.0,0.0,0.0,108.66666666666647,87.85133333333324,11.443644519484556,1.818942671444568,108
191,Redneck_(comics),1,0.0,0.0,0.0,0.0,70.91666666666676,88.13992857142848,11.529572446036646,-1.493833529853253,109
220,Solomon_Kane_(comics),1,0.0,0.0,0.0,0.0,91.8166666666665,88.16492857142849,8.601439355279627,0.4245496531922361,110
244,The_Witness_(character),1,0.0,0.0,0.0,0.0,68.40000000000008,87.5795892857142,11.5176063537088,-1.665240910021038,111
249,Thunderclap_(comics),1,0.0,0.0,0.0,0.0,108.66666666666647,88.94279761904752,11.492421873422764,1.7162500006401722,112
124,Jack_Frost_(Marvel_Comics),7,0.001457771867295519,0.001474402564823587,0.0014740064975699262,-0.011282648723384628,101.6999999999998,114.41024999999978,5.558574363996435,-2.2866024933165985,113
242,Tarantula_(Marvel_Comics),13,0.004774771052617009,0.004808089452913556,0.002624493218941016,-0.012695174845980676,121.83333333333316,125.24599999999981,3.803685596970816,-0.8971999866088922,114
83,Frankenstein's_Monster_(Marvel_Comics),11,0.0035354617412791506,0.0035736302603594913,0.0021352367303725042,-0.01787554444779617,121.74999999999984,122.14541666666646,4.548419614204375,-0.08693495767887442,115
19,Black_Marvel,6,0.0012677244619914987,0.0013106022103328656,0.00160652050262285,-0.026689823299088637,113.99999999999979,111.82066666666644,6.01742983879996,0.362170127731471,116
177,Phoenix_Force,32,0.02570981488784128,0.025921198175608354,0.005508557572204982,-0.03837361868262365,143.0833333333333,144.17666666666665,1.7967174921256814,-0.6085171086300544,117
30,"Bob,_Agent_of_Hydra",7,0.0015803709106315131,0.0016651339015486758,0.001643969205577253,-0.0515599626985711,125.33333333333319,115.55533333333312,5.247960109934754,1.8632001378001384,118
91,Ghost_Rider,22,0.012907214516713813,0.013111291068562257,0.0037489212877029653,-0.054436072722531384,135.99999999999991,135.91516666666658,2.791383802764957,0.030391139064898768,119
194,Robbie_Baldwin,15,0.0064702399557294505,0.0067505379524262854,0.0032462691371044857,-0.08634465746941955,131.2499999999999,128.11774999999983,3.713658101894531,0.843440595245462,120
10,Balder_the_Brave,3,0.00018927388283352013,0.0002812612929474564,0.0007893718869878592,-0.11653241220047533,94.21666666666651,100.8149999999998,6.737338145969217,-0.9793679922805872,121
267,White_Tiger_(comics),5,0.0008680370763527978,0.001057590909954366,0.001626595104586221,-0.11653412276178438,114.66666666666647,108.88158333333311,6.4829186282519435,0.8923578506943644,122
246,Thin_Man_(character),4,0.0003570384222088725,0.0004525349513873014,0.0007944447110718327,-0.12020538100076067,93.13333333333317,106.64491666666646,7.231734378826922,-1.868373840290998,123
23,Blackwulf,2,4.7947829420270265e-05,0.00016020254793531794,0.0008794191575838704,-0.127646432929046,95.18333333333317,97.16354761904745,8.210547721859559,-0.241179316264396,124
50,Dargo_Ktor,2,4.435398734766079e-05,0.00016340356406993736,0.000877275602257935,-0.13570373599341684,93.69999999999982,96.22229761904747,8.303148124673356,-0.30377605953487374,125
125,Jack_Monroe_(character),4,0.00046939056401231805,0.0006497223840126728,0.0012917134564853947,-0.13960667444853994,96.18333333333318,105.83516666666645,6.837359762800482,-1.4116316338720816,126
102,Hawkeye_(comics),3,0.00017644241646052724,0.00035120454708773675,0.0012489866339594688,-0.13992313918779756,96.48333333333319,101.40491666666647,7.350544140095974,-0.6695536057646222,127
